model,mean_fit_time,mean_score_time,mean_train_score,mean_test_score,mse
TREENN1_TrANN_drop_standard 40,11.890719032287597,0.03191533088684082,-5.177150795163628,-52.76965351542178,5.640225635575969
TREENN2_TrANN_drop_standard 40,13.520770835876466,0.023436450958251955,-4.563930163417294,-30.468495125551435,5.018278381496085
TREENN3_TrANN_drop_standard 40,11.516274976730347,0.0198214054107666,-9.48070503215997,-31.210315412693756,10.527419007620747
MLP_sk_target_identity 40,7.411899614334106,0.03534655570983887,-24.2079272393051,-37.18338168564697,31.47127054396245
FONN1_sk_target_identity 5 40,18.786048650741577,0.07899904251098633,-2.501623184482224,-22.965598499857172,2.597465174966118
FONN2_sk_target_identity 5 40,26.30812406539917,0.03822183609008789,-24.03236223058012,-47.57765630482122,34.43142662735609
TREENN1_sk_target_identity 5 40,10.327395057678222,0.08540024757385253,-6.22612022249329,-31.04502099482761,4.361722178886774
TREENN2_sk_target_identity 5 40,13.945866107940674,0.0651280403137207,-27.345308528384113,-39.29379506208065,30.252724277799125
FONN1_TrANN_target_identity 5 40,22.5688946723938,0.059583091735839845,-51.590602372855734,-61.96551483156344,56.64263993690433
FONN2_TrANN_target_identity 5 40,27.43378233909607,0.05210766792297363,-8.182487163916196,-29.583846771424202,10.355305764418867
FONN3_TrANN_target_identity 5 40,27.905061960220337,0.05798797607421875,-34.0544258231255,-52.75636530725099,36.14687102159619
TREENN1_TrANN_target_identity 40,5.983120965957641,0.018096399307250977,-55.53760079946928,-65.3269706447056,54.726088926603964
TREENN2_TrANN_target_identity 40,9.88948040008545,0.02973766326904297,-5.8792906408514485,-36.6305378782269,6.808184147499333
TREENN3_TrANN_target_identity 40,7.924368238449096,0.029485416412353516,-45.67412326427719,-59.74327435585561,49.95531429894651
MLP_sk_target_standard 40,6.453496074676513,0.03398098945617676,-7.534063242027142,-23.037386817941574,4.920384170263336
FONN1_sk_target_standard 5 40,7.5701967716217045,0.13132767677307128,-2.5251250767490396,-21.88389023176414,1.818926639199833
FONN2_sk_target_standard 5 40,18.686288356781006,0.028305673599243165,-7.289063612383309,-22.7189551638996,7.11902937661057
TREENN1_sk_target_standard 5 40,3.997942590713501,0.06408133506774902,-8.191886851445378,-27.927275611766174,5.134288909413803
TREENN2_sk_target_standard 5 40,8.534134149551392,0.045393753051757815,-7.880629321807646,-23.602866815345816,7.593553225457169
FONN1_TrANN_target_standard 5 40,15.697638082504273,0.03260307312011719,-5.2045494942011885,-49.3498134276368,5.996874075684498
FONN2_TrANN_target_standard 5 40,21.179824447631837,0.043888092041015625,-5.018457203385924,-29.46927795412766,5.4465079967744945
FONN3_TrANN_target_standard 5 40,30.3705641746521,0.19106216430664064,-7.777057093900348,-30.42561123059353,8.80488281521046
TREENN1_TrANN_target_standard 40,8.38649353981018,0.020432281494140624,-5.240633626407465,-53.37198979628961,5.787659337871735
TREENN2_TrANN_target_standard 40,12.193823194503784,0.0600316047668457,-4.53929323963308,-31.07368006714222,4.807963291101544
TREENN3_TrANN_target_standard 40,10.084698677062988,0.017209815979003906,-9.631880339185564,-29.474106855574398,11.264717025734972
